"","x"
"V1567",-149.4936733
"V1568",-112.84184
"V1569",-119.0560102
"V1570",-97.4186899
"V1571",-80.1373174
"V1572",-97.3307658
"V1573",-95.712891
"V1574",-8.017543
"V1575",-86.1349019
"V1576",-97.5154804
"V1577",-85.6023643
"V1578",-95.712891
"V1579",-81.4498717
"V1580",-117.9988026
"V1581",-81.5157535
"V1582",-99.9018131
"V1583",-117.9988026
"V1584",-95.712891
"V1585",-86.1089301
"V1586",-82.7504542
"V1587",-119.4179324
"V1588",-99.9018131
"V1589",-95.712891
"V1590",-94.6707917
"V1591",-89.9106632
"V1592",-73.9712488
"V1593",-77.6109219
"V1594",-77.0368707
"V1595",-122.3320708
"V1596",-83.9811014
"V1597",-95.712891
"V1598",-113.4909267
"V1599",-99.9018131
"V1600",-75.7025628
"V1601",-122.4194155
"V1602",-99.3267702
"V1603",-112.0740373
"V1604",-87.6297982
"V1605",-76.6412712
"V1606",-95.712891
"V1607",-96.5272313
"V1608",-122.3320708
"V1609",-81.5157535
"V1610",-95.712891
"V1611",-95.712891
"V1612",-119.0376023
"V1613",-82.6995443
"V1614",-85.6023643
"V1615",-95.712891
"V1616",-71.2079809
"V1617",-85.323214
"V1618",71.5249154
"V1619",-84.5037164
"V1620",-0.1927892
"V1621",-83.5216897
"V1622",-85.6023643
"V1623",-122.3447964
"V1624",-77.4291298
"V1625",-111.0937311
"V1626",-70.2553259
"V1627",-122.3320708
"V1628",-79.8711024
"V1629",-122.2055884
"V1630",-78.898619
"V1631",-117.9988026
"V1632",-99.9018131
"V1633",-95.712891
"V1634",-86.4808043
"V1635",-76.1474244
"V1636",-81.5157535
"V1637",-85.6206317
"V1638",-74.0059728
"V1639",-94.2816148
"V1640",-80.094621
"V1641",-113.4909267
"V1642",-95.712891
"V1643",-123.2620435
"V1644",-99.9018131
"V1645",-99.133208
"V1646",95.3237559
"V1647",-95.712891
"V1648",103.819836
"V1649",-86.5804473
"V1650",-93.0899578
"V1651",-104.8202462
"V1652",-99.9018131
"V1653",-79.9958864
"V1654",-80.2331036
"V1655",-99.8412125
"V1656",-72.9223431
"V1657",-95.712891
"V1658",-93.2009998
"V1659",-121.7405167
"V1660",-85.5872286
"V1661",-116.2146068
"V1662",-76.6412712
"V1663",-74.4056612
"V1664",-95.7099399
"V1665",-93.2009998
"V1666",-112.0740373
"V1667",-77.0368707
"V1668",-79.0192997
"V1669",10.4508956
"V1670",-66.590149
"V1671",-91.8318334
"V1672",-77.2013705
"V1673",-95.712891
"V1674",-0.1277583
"V1675",-98.2300124
"V1676",-82.907123
"V1677",-8.4115401
"V1678",-95.712891
"V1679",-96.4003069
"V1680",-74.0776417
"V1681",-81.5157535
"V1682",-78.6381787
"V1683",-71.3824374
"V1684",-77.0368707
"V1685",-77.0368707
"V1686",-63.5752387
"V1687",-95.712891
"V1688",-122.272747
"V1689",-95.3698028
"V1690",-119.5184564
"V1691",-77.0368707
"V1692",-77.0368707
"V1693",-84.3879824
"V1694",-95.9979883
"V1695",-99.9018131
"V1696",-121.947311
"V1697",-81.3235459
"V1698",-122.4194155
"V1699",-119.4179324
"V1700",-74.0059728
"V1701",-87.3464271
"V1702",-84.3879824
"V1703",-73.9813041
"V1704",-85.6023643
"V1705",-98.4842465
"V1706",-81.3792365
"V1707",-77.4105409
"V1708",-86.5804473
"V1709",-77.0368707
"V1710",-93.847189
"V1711",-3.188267
"V1712",-85.6023643
"V1713",-79.2317521
"V1714",-70.4442252
"V1715",-78.2566834
"V1716",-79.8711024
"V1717",-82.53795
"V1718",-84.3879824
"V1719",-82.907123
"V1720",-110.966488
"V1721",-149.9002778
"V1722",-95.712891
"V1723",-99.9018131
"V1724",-95.712891
"V1725",-97.092877
"V1726",-121.7405167
"V1727",-1.1743197
"V1728",-73.7948516
"V1729",-85.323214
"V1730",-70.9731602
"V1731",-112.0740373
"V1732",-79.0192997
"V1733",-95.712891
"V1734",-3.4246644
"V1735",-82.9000751
"V1736",-83.9207392
"V1737",-121.4943996
"V1738",-121.4943996
"V1739",46.8568513
"V1740",-122.3320708
"V1741",-83.0363633
"V1742",-81.6911559
"V1743",5.3102505
"V1744",-104.990251
"V1745",-79.0558445
"V1746",-99.9018131
"V1747",-79.6441198
"V1748",-74.0059728
"V1749",-71.0588801
"V1750",-111.3080244
"V1751",-71.0588801
"V1752",-116.2146068
"V1753",-75.6971931
"V1754",-77.4360481
"V1755",-84.264492
"V1756",-71.1061639
"V1757",-80.2481666
"V1758",-79.3831843
"V1759",-82.9987942
"V1760",-121.2880059
"V1761",-104.6188943
"V1762",-71.0588801
"V1763",-119.4179324
"V1764",-74.4056612
"V1765",-77.0368707
"V1766",-121.9780153
"V1767",27.142826
"V1768",-118.2436849
"V1769",-74.0059728
"V1770",-75.4142592
"V1771",-79.0192997
"V1772",-82.9000751
"V1773",-79.3831843
"V1774",-119.1770516
"V1775",79.9438624
"V1776",-71.0588801
"V1777",-77.0909809
"V1778",-94.1023906
"V1779",-0.40965
"V1780",-122.2711137
"V1781",8.227512
"V1782",-95.712891
"V1783",-106.346771
"V1784",-71.0588801
"V1785",-74.0059728
"V1786",-87.6297982
"V1787",-74.307282
"V1788",73.8567437
"V1789",-1.0872979
"V1790",-74.0059728
"V1791",-119.4179324
"V1792",-79.0558445
"V1793",-79.0377388
"V1794",-95.712891
"V1795",-77.0368707
"V1796",-117.1610838
"V1797",-111.8314724
"V1798",-113.4909267
"V1799",-93.2009998
"V1800",-113.5684164
"V1801",-79.0192997
"V1802",-79.3831843
"V1803",-80.2481666
"V1804",-79.0558445
"V1805",-87.8211854
"V1806",-80.2481666
"V1807",-80.2481666
"V1808",-74.0059728
"V1809",-117.8265049
"V1810",-77.0368707
"V1811",-77.7924992
"V1812",-79.0558445
"V1813",-72.6239953
"V1814",-75.7496572
"V1815",-80.2481666
"V1816",-87.6297982
"V1817",-75.6971931
"V1818",-71.9273024
"V1819",-77.0368707
"V1820",-79.3831843
"V1821",-95.3698028
"V1822",-76.8867008
"V1823",-105.2253316
"V1824",-73.8648268
"V1825",-79.9958864
"V1826",-71.0588801
"V1827",-71.8022934
"V1828",10.3279036
"V1829",5.291266
"V1830",-3.188267
"V1831",-118.4109089
"V1832",-86.2353388
"V1833",-81.378447
"V1834",36.8219462
"V1835",-115.1398296
"V1836",138.252924
"V1837",-149.0729714
"V1838",-0.7594171
"V1839",-78.7113269
"V1840",-95.712891
"V1841",-79.8296743
"V1842",-79.4196783
"V1843",-71.102018
"V1844",-74.0059728
"V1845",-79.3831843
"V1846",-122.0651819
"V1847",-74.511172
"V1848",28.2292712
"V1849",-104.8213634
"V1850",-79.6903316
"V1851",133.775136
"V1852",-77.0368707
"V1853",-81.3792365
"V1854",-85.323214
"V1855",18.4240553
"V1856",-1.9927105
"V1857",-3.435973
"V1858",133.775136
"V1859",-76.7074571
"V1860",-122.399961
"V1861",-95.3698028
"V1862",-81.5312701
"V1863",-0.1277583
"V1864",-84.2963123
"V1865",-89.3985283
"V1866",-97.1383744
"V1867",-106.7636538
"V1868",-77.0368707
"V1869",12.3401709
"V1870",-95.712891
"V1871",84.124008
"V1872",-122.4194155
"V1873",-115.1398296
"V1874",-92.3340724
"V1875",-116.5765035
"V1876",-87.6297982
"V1877",-72.8305154
"V1878",-92.5249756
"V1879",-83.8888647
"V1880",-78.1916302
"V1881",-111.0937311
"V1882",-85.6023643
"V1883",-113.4909267
"V1884",-87.6297982
"V1885",-71.3824374
"V1886",-122.4194155
"V1887",-118.2436849
"V1888",-77.4360481
"V1889",-79.8660747
"V1890",-94.5785667
"V1891",-94.8191285
"V1892",-85.6023643
"V1893",-87.6235449
"V1894",-93.6091064
"V1895",-95.712891
"V1896",-119.4179324
"V1897",-93.3788108
"V1898",-79.3831843
"V1899",-81.655651
"V1900",-77.0368707
"V1901",-90.1848103
"V1902",-73.7562317
"V1903",-77.8600012
"V1904",-79.6903316
"V1905",11.0839633
"V1906",-87.6297982
"V1907",-84.2963223
"V1908",-99.9018131
"V1909",-112.0740373
"V1910",-74.4056612
"V1911",-88.7878678
"V1912",-74.5402506
"V1913",-72.6874023
"V1914",-96.7969879
"V1915",-87.9535534
"V1916",-79.3831843
"V1917",-111.8314724
"V1918",-77.297508
"V1919",-79.1525349
"V1920",-3.7037902
"V1921",-111.8910474
"V1922",-77.0368707
"V1923",-104.990251
"V1924",-96.5716694
"V1925",-1.1306544
"V1926",-80.3582261
"V1927",-111.651302
"V1928",-118.3089661
"V1929",-73.1409429
"V1930",-79.6903316
"V1931",-79.6903316
"V1932",149.1300092
"V1933",-113.4909267
"V1934",14.550072
"V1935",-74.0059728
"V1936",-115.1745559
"V1937",-76.6121893
"V1938",-118.3430208
"V1939",-111.9426452
"V1940",-80.2621852
"V1941",-102.552784
"V1942",77.2137665
"V1943",-88.0070315
"V1944",-71.0588801
"V1945",-95.712891
"V1946",-97.7430608
"V1947",-77.0227778
"V1948",24.6044555
"V1949",-94.6858998
"V1950",-82.6716892
"V1951",-74.0059728
"V1952",-71.0588801
"V1953",-84.4159527
"V1954",-74.0059728
"V1955",-105.7820674
"V1956",-76.4921829
"V1957",-79.0558445
"V1958",4.1956212
"V1959",-74.0059728
"V1960",-122.0838511
"V1961",-74.0059728
"V1962",-122.3824209
"V1963",72.492711
"V1964",-73.9599019
"V1965",-77.0368707
"V1966",-78.4766781
"V1967",-115.1745559
"V1968",-77.9841776
"V1969",12.354722
"V1970",-121.4943996
"V1971",-89.4012302
"V1972",-94.2816148
"V1973",-85.5800022
"V1974",-95.9145568
"V1975",-90.5776367
"V1976",-113.7746723
"V1977",-83.6499321
"V1978",-100.0170787
"V1979",-87.4360804
"V1980",-95.712891
"V1981",-81.609844
"V1982",-87.6297982
"V1983",-119.74079
"V1984",-87.6297982
"V1985",-75.1652215
"V1986",-77.0469214
"V1987",-122.7094767
"V1988",-76.6121893
"V1989",-96.3344068
"V1990",-104.990251
"V1991",-87.6297982
"V1992",-93.6091064
"V1993",-73.790959
"V1994",-76.7083033
"V1995",-99.0816784
"V1996",-77.8907839
"V1997",-87.6297982
"V1998",-111.0937311
"V1999",-122.3320708
"V11000",-77.0368707
"V11001",-95.712891
"V11002",-116.5765035
"V11003",-79.3831843
"V11004",-94.6858998
"V11005",-78.4766781
"V11006",-76.6121893
"V11007",-96.6851982
"V11008",-77.0368707
"V11009",-122.6764815
"V11010",-97.3307658
"V11011",-81.2452768
"V11012",15.2551187
"V11013",-80.1050604
"V11014",-93.097702
"V11015",-119.8138027
"V11016",-77.1527578
"V11017",-122.3320708
"V11018",122.1973081
"V11019",-87.6297982
"V11020",-81.1637245
"V11021",-85.6680863
"V11022",-82.3248262
"V11023",-95.712891
"V11024",176.3689844
"V11025",-80.4831917
"V11026",-89.6501481
"V11027",150.45
"V11028",-87.9064736
"V11029",-88.7323272
"V11030",-87.9064736
"V11031",-79.6903316
"V11032",-81.2452768
"V11033",-0.7594171
"V11034",2.1734035
"V11035",-73.8583806
"V11036",-87.6297982
"V11037",133.775136
"V11038",-8.6291053
"V11039",144.9630576
"V11040",133.775136
"V11041",-7.6920536
"V11042",-87.6297982
"V11043",-102.4107493
"V11044",-102.4107493
"V11045",-80.3144276
"V11046",-118.2436849
"V11047",-123.8264512
"V11048",-82.907123
"V11049",-105.2705456
"V11050",-95.712891
"V11051",-77.4105409
"V11052",-84.3879824
"V11053",-93.097702
"V11054",133.775136
"V11055",-77.1945247
"V11056",-0.1277583
"V11057",-83.1352843
"V11058",-78.458708
"V11059",-95.712891
"V11060",-98.4936282
"V11061",-91.8318334
"V11062",-91.8723497
"V11063",-98.4842465
"V11064",-2.518727
"V11065",-74.0059728
"V11066",-95.3698028
"V11067",-88.2433829
"V11068",-74.0059728
"V11069",-95.3698028
"V11070",-111.8910474
"V11071",-77.0441143
"V11072",-77.7199932
"V11073",-79.8711024
"V11074",-3.60512
"V11075",-95.762766
"V11076",-95.712891
"V11077",-118.2436849
"V11078",-95.712891
"V11079",-95.0949303
"V11080",-111.8910474
