"","x"
"user_id757","2949299298"
"user_id758","30365182"
"user_id759","52228687"
"user_id760","961650343787495424"
"user_id761","711550678779498497"
"user_id762","732061744756097024"
"user_id763","48956508"
"user_id764","1223567238"
"user_id765","529699873"
"user_id766","761677734015795200"
"user_id767","922834505387429888"
"user_id768","733286666"
"user_id769","159600548"
"user_id770","955212928072011778"
"user_id771","57049881"
"user_id772","3320242092"
"user_id773","85116421"
"user_id774","940044047757983744"
"user_id775","777144977449111552"
"user_id776","837027046652055562"
"user_id777","1322983466"
"user_id778","369697377"
"user_id779","892867957604442112"
"user_id780","19990541"
"user_id781","2865664820"
"user_id782","856490920832716800"
"user_id783","119486479"
"user_id784","377588094"
"user_id785","1280452790"
"user_id786","781397364"
"user_id787","2758562545"
"user_id788","44675315"
"user_id789","709978793881038848"
"user_id790","115085178"
"user_id791","976404266"
"user_id792","252794509"
"user_id793","88009696"
"user_id794","2792894290"
"user_id795","373383537"
"user_id796","468630512"
"user_id797","2328206053"
"user_id798","838458651798986755"
"user_id799","946175014541451267"
"user_id800","4315471"
"user_id801","3300794127"
"user_id802","256251541"
"user_id803","143473276"
"user_id804","730645657627860993"
"user_id805","1664059166"
"user_id806","17546445"
"user_id807","4421722593"
"user_id808","17352760"
"user_id809","856148831683182592"
"user_id810","3178410878"
"user_id811","17453722"
"user_id812","20186316"
"user_id813","785263274992529408"
"user_id814","842100348667977728"
"user_id815","925430257859153921"
"user_id816","237350481"
"user_id817","4684570549"
"user_id818","928223484"
"user_id819","810541966240911360"
"user_id820","300240143"
"user_id821","17667626"
"user_id822","108792104"
"user_id823","1918161866"
"user_id824","80876593"
"user_id825","3587693542"
"user_id826","404462916"
"user_id827","40950982"
"user_id828","928726731728531457"
"user_id829","44031606"
"user_id830","132928701"
"user_id831","253762301"
"user_id832","1216692434"
"user_id833","919666147443830784"
"user_id834","2776520980"
"user_id835","137678858"
"user_id836","3131519945"
"user_id837","223837201"
"user_id838","2415082230"
"user_id839","116289807"
"user_id840","262957023"
"user_id841","704299931012497408"
"user_id842","1672392841"
"user_id843","924004942083514368"
"user_id844","308102518"
"user_id845","23094659"
"user_id846","136137641"
"user_id847","946213965696090112"
"user_id848","931826329384898562"
"user_id849","42697012"
"user_id850","3082342090"
"user_id851","47686352"
"user_id852","854939699030274048"
"user_id853","195858764"
"user_id854","2474345197"
"user_id855","123628318"
"user_id856","2577430513"
"user_id857","20067285"
"user_id858","207657858"
"user_id859","818574543463792640"
"user_id860","38187646"
"user_id861","804506334007857152"
"user_id862","833703844194418692"
"user_id863","4633383082"
"user_id864","402061844"
"user_id865","16203795"
"user_id866","117630732"
"user_id867","254544531"
"user_id868","760185382075904001"
"user_id869","838634641"
"user_id870","743261259055964160"
"user_id871","234844432"
"user_id872","3134700429"
"user_id873","2382289663"
"user_id874","2260837674"
"user_id875","15670006"
"user_id876","1388189952"
"user_id877","3105174701"
"user_id878","215683551"
"user_id879","289557548"
"user_id880","1654267909"
"user_id881","948548991112925184"
"user_id882","879161563"
"user_id883","266834046"
