"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x972218322438754307",2018-03-09 21:11:25,"x33605563","CarowTheDreamer","Been in bed/the sofa with the flu all week, not feeling any better,  but here a photo of my dog.
#dog #dogsofinstagram https://t.co/3TYnQSKP24","IFTTT",,,,FALSE,FALSE,1,0,"dog dogsofinstagram",,,,,"http://pbs.twimg.com/media/DX4DaVEW4AAbUwl.jpg","https://t.co/3TYnQSKP24","https://twitter.com/CarowTheDreamer/status/972218322438754307/photo/1","photo","http://pbs.twimg.com/media/DX4DaVEW4AAbUwl.jpg","https://t.co/3TYnQSKP24","https://twitter.com/CarowTheDreamer/status/972218322438754307/photo/1",,,,"en",,,,,,,,,,,,,
"x972218241497133057",2018-03-09 21:11:06,"x498181438","ImmunizePA","RT @CDCgov: #Flu activity has peaked and is down significantly for the third consecutive week, but flu activity is still elevated, and is e…","Twitter Web Client",,,,FALSE,TRUE,0,41,"Flu",,,,,,,,,,,,,"x146569971","CDCgov","en",,,"x972208967245017088","#Flu activity has peaked and is down significantly for the third consecutive week, but flu activity is still elevated, and is expected to continue for several more weeks. More from this week’s latest #FluView report: https://t.co/qdkfE6dlof https://t.co/pSK640a53e",,,,,,,,,
"x972218235906031616",2018-03-09 21:11:05,"x243462791","slmahaney","RT @CDCFlu: #FluFactFriday: A 2017 study found that flu vaccination can reduce the risk of flu-associated death in children. Read more abou…","Twitter for iPhone",,,,FALSE,TRUE,0,56,"FluFactFriday",,,,,,,,,,,,,"x16616061","CDCFlu","en",,,"x972110072930295808","#FluFactFriday: A 2017 study found that flu vaccination can reduce the risk of flu-associated death in children. Read more about other flu vaccine benefits here: https://t.co/PFKM6xONwd. https://t.co/6t4LI60nsm",,,,,,,,,
"x972218230080196611",2018-03-09 21:11:03,"x133241378","farmersjournal","Satellite inspections, bird flu, quality assurance rules and weekend pedigree sales all feature in tonight's nightly news https://t.co/t6qgGO6f8Z","Buffer",,,,FALSE,FALSE,0,0,,,"farmersjournal.ie/irish-farmers-…","https://t.co/t6qgGO6f8Z","https://www.farmersjournal.ie/irish-farmers-journal-nightly-news-bird-flu-and-satellite-inspections-354055",,,,,,,,,,,"en",,,,,,,,,,,,,
"x972218068612067330",2018-03-09 21:10:25,"x2644195841","kbarne2","RT SquareZeroPro ""How the Spanish Flu Killed More People than #WWI 
#StepBack #ww1 #greatwar #thegreatwar #FirstWorldWar #FWW https://t.co/skNLm2M7zc""","IFTTT",,,,FALSE,FALSE,0,0,"WWI StepBack ww1 greatwar thegreatwar FirstWorldWar FWW",,"youtube.com/watch?v=B6iuF6…","https://t.co/skNLm2M7zc","https://www.youtube.com/watch?v=B6iuF6oOejI",,,,,,,,,,,"en",,,,,,,,,,,,,
"x972217999880056832",2018-03-09 21:10:08,"x18429289","sandymaxey","@quickmuse @nancykaustin @tom_peters Hell, I had two different strains of the flu, at the same time. I was expecting to be able to deduct them as dependents on my taxes. I had the deadly one, and the weaker one. In a sort of Let Us Kick Her Ass Kumbayah Symbiosis. Laid me flat.","Twitter Web Client","x972217427793768448","x16603345","quickmuse",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x16603345 37610878 18028509","quickmuse nancykaustin tom_peters","en",,,,,,,,,,,,,
"x972217985397067776",2018-03-09 21:10:05,"x2662213294","Iceeee_COLD","Go to work tomorrow, ain’t been to work since I had the flu 😌","Twitter for iPhone",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x972217940526411779",2018-03-09 21:09:54,"x32206593","JustLeslieCat","@immerspaetlin Did you get a flu shot? Maybe they’re tracking us through it? (I know this isn’t helpful but it’s all I got)","Twitter for iPhone","x972217087987978240","x68764537","immerspaetlin",FALSE,FALSE,1,0,,,,,,,,,,,,,,"x68764537","immerspaetlin","en",,,,,"https://api.twitter.com/1.1/geo/id/dd3b100831dd1763.json","New Orleans","New Orleans, LA","city","United States","US",,,"-90.137908 -89.884108 -89.884108 -90.137908 29.889574 29.889574 30.075628 30.075628"
"x972217825757749248",2018-03-09 21:09:27,"x810110213143613441","imagoApps","RT @CDCgov: #Flu activity has peaked and is down significantly for the third consecutive week, but flu activity is still elevated, and is e…","imagoApps",,,,FALSE,TRUE,0,41,"Flu",,,,,,,,,,,,,"x146569971","CDCgov","en",,,"x972208967245017088","#Flu activity has peaked and is down significantly for the third consecutive week, but flu activity is still elevated, and is expected to continue for several more weeks. More from this week’s latest #FluView report: https://t.co/qdkfE6dlof https://t.co/pSK640a53e",,,,,,,,,
"x972217745876992000",2018-03-09 21:09:08,"x849100055470628864","SquareZeroPro","How the Spanish Flu Killed More People than #WWI 
#StepBack #ww1 #greatwar #thegreatwar #FirstWorldWar #FWW https://t.co/QPGdkPjvQE","Recycle Updates",,,,FALSE,FALSE,0,0,"WWI StepBack ww1 greatwar thegreatwar FirstWorldWar FWW",,"youtube.com/watch?v=B6iuF6…","https://t.co/QPGdkPjvQE","https://www.youtube.com/watch?v=B6iuF6oOejI",,,,,,,,,,,"en",,,,,,,,,,,,,
